Codigo;Município;Area;Densidade;Distancia;RendaperCapita;Gini;Intensidadedapobreza;IDH;Populacaototal
520085;Americano do Brasil (GO);134;35,1;90,85456045;204,95;0,63;39,3;0,732;4933
430064;Ametista do Sul (RS);75,9;97,7;352,6247452;198,62;0,58;41,59;0,754;7414
290110;Amélia Rodrigues (BA);153,2;157,6;69,64661974;125,66;0,58;47,77;0,695;24134
290115;América Dourada (BA);748,1;21,3;359,5616698;65,05;0,56;59,61;0,564;15959
350170;Américo Brasiliense (SP);123,8;228,5;252,3556867;242,09;0,48;47,06;0,788;28287
350180;Américo de Campos (SP);254,6;22;481,8232332;252,69;0,51;24,34;0,774;5594
230075;Amontada (CE);1581,9;20,5;117,5342334;62,77;0,72;71,17;0,616;32333
520090;Amorinópolis (GO);409,9;10,1;196,0021;177,85;0,55;38,86;0,732;4145
250073;Amparo (PB);126,5;14,9;247,7371137;75,58;0,5;51,54;0,603;1886
350190;Amparo (SP);447,1;135,1;95,02323264;445,34;0,54;36,91;0,806;60404
280010;Amparo de São Francisco (SE);39,8;54,8;87,72290173;82,64;0,58;57,82;0,602;2182
310250;Amparo do Serra (MG);146,2;37,5;142,6301648;117,93;0,57;44,31;0,675;5477
410100;Ampére (PR);303;51,6;424,0839294;234,61;0,58;38,19;0,793;15623
270020;Anadia (AL);190,3;93,7;62,36006929;85,3;0,6;55,02;0,609;17849
290120;Anagé (BA);1859,3;21,9;336,8847238;61,94;0,57;62,41;0,586;31060
410105;Anahy (PR);107,4;27,8;391,6105888;152,14;0,55;45,98;0,725;3011
210070;Anajatuba (MA);1137,6;20,1;88,82561465;50,62;0,52;61,45;0,567;22978
150070;Anajás (PA);7022,2;2,6;167,8282971;89,82;0,56;46,99;0,595;18322
350200;Analândia (SP);327,5;10,9;189,8125123;293,03;0,5;29,65;0,804;3582
130008;Anamã (AM);2464,8;2,7;161,9325687;96,83;0,67;63,98;0,637;6563
170100;Ananás (TO);1398;7,5;423,333334;117,93;0,56;45,94;0,667;10512
150080;Ananindeua (PA);191,4;2053;17,74911361;187,79;0,54;44,05;0,782;393569
150085;Anapu (PA);11951,7;0,8;373,6627696;112,91;0,64;66,1;0,645;9407
210080;Anapurus (MA);613,5;16,4;182,8915949;97,63;0,71;61,7;0,592;10280
500070;Anastácio (MS);2957,5;7,6;120,9547127;165,71;0,59;44,51;0,725;22477
500080;Anaurilândia (MS);3405,4;2,3;278,258254;183,74;0,54;42,13;0,72;7955
520110;Anápolis (GO);1078,2;266,8;50,58020377;293,89;0,57;38,41;0,788;288085
320040;Anchieta (ES);418,1;45,7;62,37303017;227,8;0,55;43,3;0,785;19176
420080;Anchieta (SC);229,9;31;487,6643069;151,72;0,49;43,17;0,769;7133
290130;Andaraí (BA);1902,4;7,3;306,0045035;82,38;0,67;59,86;0,569;13884
410110;Andirá (PR);235;92,2;281,3298652;237,67;0,53;33,5;0,742;21663
290135;Andorinha (BA);1212,5;13;325,3343209;76,26;0,6;60,35;0,57;15774
310260;Andradas (MG);468,7;69,8;368,899009;360,23;0,55;33,33;0,812;32968
350210;Andradina (SP);962,7;57,3;569,9139606;358,05;0,59;38,31;0,798;55161
310280;Andrelândia (MG);1007,1;12,2;216,8076507;207,21;0,61;40,14;0,733;12310
430066;André da Rocha (RS);333,2;3,3;159,2536919;298,74;0,48;27,48;0,815;1113
350220;Angatuba (SP);1031;18,7;181,1702874;250,71;0,55;35,94;0,762;19297
310285;Angelândia (MG);537,5;13,9;310,137894;127,06;0,62;46,28;0,635;7468
260100;Angelim (PE);126,7;71,5;180,2075972;84,65;0,62;59,44;0,602;9082
420090;Angelina (SC);524,5;11;43,05427946;185,13;0,5;45,1;0,766;5776
500085;Angélica (MS);1276,5;5,8;210,5025858;160,18;0,51;38,2;0,729;7356
290140;Angical (BA);1497,5;9,8;679,2726679;71,46;0,52;54,92;0,625;14701
220060;Angical do Piauí (PI);212,3;32;111,0055025;74,06;0,55;57,8;0,648;6788
170105;Angico (TO);564,1;5,1;422,8423304;89,4;0,59;55,9;0,668;2889
240080;Angicos (RN);809,5;14,3;154,5720696;115,39;0,57;50,05;0,688;11626
330010;Angra dos Reis (RJ);816,3;146;114,1619671;275,66;0,55;48,27;0,772;119247
290150;Anguera (BA);170,8;51,7;121,0679561;71,09;0,54;55,82;0,623;8834
520120;Anhanguera (GO);55;16,1;214,4111606;190,67;0,46;27,57;0,802;895
350230;Anhembi (SP);738,2;6,1;174,1072466;237,16;0,53;33,47;0,768;4535
350240;Anhumas (SP);321,7;10,6;505,7523114;183,38;0,5;40,95;0,752;3411
520130;Anicuns (GO);964,9;19,5;79,20122981;217,93;0,6;40,93;0,721;18754
420100;Anita Garibaldi (SC);606,1;16,9;254,2649561;158,05;0,55;46,32;0,75;10273
420110;Anitápolis (SC);576,4;5,6;66,34667308;219,28;0,52;37,22;0,773;3234
220070;Anísio de Abreu (PI);354,9;20,2;456,3852792;88,09;0,55;55,75;0,635;7166
130010;Anori (AM);6274,5;1,8;194,4424642;91,12;0,59;54,39;0,634;11320
430070;Anta Gorda (RS);240,3;26,3;139,8926715;362,51;0,46;27,82;0,821;6327
290160;Antas (BA);289,1;48,6;286,3452549;99,99;0,49;44,79;0,632;14059
410120;Antonina (PR);880;21,8;56,29916525;196,8;0,59;43,53;0,77;19174
230080;Antonina do Norte (CE);250,8;25,9;375,5838691;73,91;0,6;61,27;0,613;6509
220080;Antônio Almeida (PI);604,5;4,7;282,4960059;81;0,53;53,62;0,643;2851
290170;Antônio Cardoso (BA);295,1;39,4;88,9126658;73,64;0,54;56,59;0,647;11620
310290;Antônio Carlos (MG);526,4;20,6;168,2023483;167,89;0,52;37,04;0,733;10870
420120;Antônio Carlos (SC);242,8;26,4;23,3341462;291,83;0,45;32,3;0,827;6434
310300;Antônio Dias (MG);880,4;11,4;114,8341272;118,19;0,54;45,3;0,661;10044
290180;Antônio Gonçalves (BA);317,4;30,4;328,2970726;77,12;0,56;57,41;0,62;9716
500090;Antônio João (MS);1146,7;6,5;236,4143793;142,26;0,56;42,31;0,702;7408
240090;Antônio Martins (RN);251,6;26,8;301,6433153;68,33;0,6;62,86;0,636;6757
410130;Antônio Olinto (PR);467,4;15,8;111,3689118;127,93;0,56;48,05;0,711;7407
430080;Antônio Prado (RS);343,2;37,6;130,6666791;417,11;0,5;35,05;0,841;12918
310310;Antônio Prado de Minas (MG);85,3;21;233,9778472;201,19;0,54;37,53;0,72;1794
250077;Aparecida (PB);223,7;26,3;357,5146849;97,8;0,59;51,87;0,628;5894
350250;Aparecida (SP);121,2;287,4;163,3678861;318,86;0,55;39,75;0,804;34904
350260;Aparecida d'Oeste (SP);179,6;27,4;556,5047305;229,33;0,53;30,93;0,759;4935
